year,name,driverRef,statusId,position,Did not finish,Podium,Pos 4 to 10,Accident / Collision,Finished,SC,Dry,Wet,pitStop timing prop(driver),pitStop timing prop(race),Medium,Soft,Super Soft,Ultra soft,Hard,clusters
2016,Bahrain Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.07517750826825534,1.0,6.0,6.0,0.0,0.0,15.0
2016,Belgian Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.07239938139982696,4.0,5.0,4.0,0.0,0.0,5.0
2016,Brazilian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.07589571179352851,4.0,8.0,0.0,0.0,1.0,3.0
2016,British Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,1.0,0.67,0.0,0.057475150227266666,0.005016346097587743,5.0,7.0,0.0,0.0,1.0,2.0
2016,Canadian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.07120670309442031,0.0,3.0,2.0,8.0,0.0,1.0
2016,Chinese Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.07169589161271918,3.0,5.0,5.0,0.0,0.0,7.0
2016,Hungarian Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,0.0,0.057475150227266666,0.051186325432575244,1.0,4.0,8.0,0.0,0.0,10.0
2016,Italian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.07186830200345722,2.0,4.0,7.0,0.0,0.0,4.0
2016,Japanese Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,0.67,0.33,0.057475150227266666,0.0698026662678378,3.0,8.0,0.0,2.0,0.0,7.0
2016,Malaysian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,0.67,0.0,0.057475150227266666,0.07053454491446472,4.0,7.0,0.0,0.0,2.0,11.0
2016,Mexican Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.057475150227266666,0.06798854890344568,4.0,4.0,5.0,0.0,0.0,3.0
2016,Monaco Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.057475150227266666,0.07892674185559972,0.0,1.0,2.0,10.0,0.0,10.0
2016,Russian Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.5,1.0,0.0,0.057475150227266666,0.005083509984742719,1.0,4.0,8.0,0.0,0.0,14.0
